iter	RMSE
498	4.288868464
499	4.28749129
500	4.28711527
501	4.286514829
502	4.285257743
503	4.284703688
504	4.283972235
505	4.282811134
506	4.281994102
507	4.280893234
508	4.280373646
509	4.279598449
510	4.27899678
511	4.27842195
512	4.277741941
513	4.276648384
514	4.275442543
515	4.274638381
516	4.274053771
517	4.273608749
518	4.272190656
519	4.270794517
520	4.269953037
521	4.2686913
522	4.26804423
523	4.267257097
524	4.266856703
525	4.266162568
526	4.265025396
527	4.264595515
528	4.264036894
529	4.263390081
530	4.262555465
531	4.261498102
532	4.260773185
533	4.2601908
534	4.259530541
535	4.258439265
536	4.257662964
537	4.256901824
538	4.255788304
539	4.254535317
540	4.25419948
541	4.253533388
542	4.253011532
543	4.252441914
544	4.25191854
545	4.251187403
546	4.250473148
547	4.250010687
548	4.249301212
549	4.248775277
550	4.247729604
551	4.247013161
552	4.246242377
553	4.245050804
554	4.244564007
555	4.243646672
556	4.242923296
557	4.241564457
558	4.240739434
559	4.23946973
560	4.239092425
561	4.238555157
562	4.237935559
563	4.236684402
564	4.236096096
565	4.235476681
566	4.234393266
567	4.233373547
568	4.23259621
569	4.232166623
570	4.231802701
571	4.231000784
572	4.230299896
573	4.229388764
574	4.228346685
575	4.227160471
576	4.226180565
577	4.225359109
578	4.224724877
579	4.224089872
580	4.223715022
581	4.22314736
582	4.222328406
583	4.2219034
584	4.221017153
585	4.220197664
586	4.218961255
587	4.2185782
588	4.218121019
589	4.217559529
590	4.216968134
591	4.216227105
592	4.215869335
593	4.215331661
594	4.214939282
595	4.214553253
596	4.213844725
597	4.213092692
598	4.21244276
599	4.212124391
600	4.211685566
601	4.211310851
602	4.210780244
603	4.210404512
604	4.20963323
605	4.209089902
606	4.207871676
607	4.206932383
608	4.206632353
609	4.205599392
610	4.205030248
611	4.204579691
612	4.203581925
613	4.202864549
614	4.202250095
615	4.201270254
616	4.200792794
617	4.200080289
618	4.199484931
619	4.199010631
620	4.198168435
621	4.197647349
622	4.19671719
623	4.195811228
624	4.195474646
625	4.194415454
626	4.194015912
627	4.193396417
628	4.193024657
629	4.192448536
630	4.191933467
631	4.191662071
632	4.190928097
633	4.190251133
634	4.189743816
635	4.189260412
636	4.18875874
637	4.187986534
638	4.187368022
639	4.186789357
640	4.185925266
641	4.185357412
642	4.184948615
643	4.184180714
644	4.183028917
645	4.182477556
646	4.182072859
647	4.181406496
648	4.18073835
649	4.180270945
650	4.179669808
651	4.179156738
652	4.178902021
653	4.178329549
654	4.177959226
655	4.177424069
656	4.176889588
657	4.176148109
658	4.175075843
659	4.174661745
660	4.173832081
661	4.173056908
662	4.172752265
663	4.172213404
664	4.171683738
665	4.171254644
666	4.170822741
667	4.16994771
668	4.169468441
669	4.168866803
670	4.167993271
671	4.167287417
672	4.166848782
673	4.166344755
674	4.165699784
675	4.165307016
676	4.164941758
677	4.164522815
678	4.163949781
679	4.163600322
680	4.163030636
681	4.162278121
682	4.161355346
683	4.160763243
684	4.159923199
685	4.159472718
686	4.1588771
687	4.158354998
688	4.157932841
689	4.157343589
690	4.156356158
691	4.155893123
692	4.155402817
693	4.154845369
694	4.154536929
695	4.154052342
696	4.153645029
697	4.153336026
698	4.152816966
699	4.152491654
700	4.152054842
701	4.15166682
702	4.150681681
703	4.15037128
704	4.150098773
705	4.149620076
706	4.149471083
707	4.148926113
708	4.148697579
709	4.148396492
710	4.148009746
711	4.147686689
712	4.147210359
713	4.146445552
714	4.146220015
715	4.145935789
716	4.145157916
717	4.144636993
718	4.143884029
719	4.143064205
720	4.142503783
721	4.141764061
722	4.141024373
723	4.140633569
724	4.140356476
725	4.140021219
726	4.139539724
727	4.139030975
728	4.138116879
729	4.13763852
730	4.137159588
731	4.136260728
732	4.135749293
733	4.135424313
734	4.13453179
735	4.133879484
736	4.133424353
737	4.133107788
738	4.132758618
739	4.132368049
740	4.131636439
741	4.13126417
742	4.130799713
743	4.130423224
744	4.129823729
745	4.129101742
746	4.128821916
747	4.128472461
748	4.127852178
749	4.127013005
750	4.126254358
751	4.126087411
752	4.125548289
753	4.125279824
754	4.124827155
755	4.124530524
756	4.123640621
757	4.123254476
758	4.122791835
759	4.122354694
760	4.121996982
761	4.121493416
762	4.121126135
763	4.12027079
764	4.119680198
765	4.119325634
766	4.118841814
767	4.118080098
768	4.117684344
769	4.117054367
770	4.116289036
771	4.115535864
772	4.115094633
773	4.11472933
774	4.114348677
775	4.114007633
776	4.11350866
777	4.113100901
778	4.112612198
779	4.111666619
780	4.111104229
781	4.110734738
782	4.110285629
783	4.109918232
784	4.109538572
785	4.109133552
786	4.108770149
787	4.108454854
788	4.10811893
789	4.107655827
790	4.107264928
791	4.106902535
792	4.10648325
793	4.10589354
794	4.105414684
795	4.104956479
796	4.104625262
797	4.10392069
798	4.103554455
799	4.103346414
800	4.102727345
801	4.102472442
802	4.101950865
803	4.101597354
804	4.100967439
805	4.10035642
806	4.100084457
807	4.099534579
808	4.09884404
809	4.098230278
810	4.097848806
811	4.097450745
812	4.097162539
813	4.096639512
814	4.096195881
815	4.095777775
816	4.095461693
817	4.0952124
818	4.09434142
819	4.093682574
820	4.093253402
821	4.092930055
822	4.092197602
823	4.091784706
824	4.091297559
825	4.090750949
826	4.090216393
827	4.089696664
828	4.089295194
829	4.088937076
830	4.088263214
831	4.087726559
832	4.087401251
833	4.086934639
834	4.086342507
835	4.086029928
836	4.0857998
837	4.085455737
838	4.084761742
839	4.084384527
840	4.084057998
841	4.083791315
842	4.083151856
843	4.082340066
844	4.081789582
845	4.081334104
846	4.080936204
847	4.0805805
848	4.080277941
849	4.080060333
850	4.07945482
851	4.078892041
852	4.078017234
853	4.07773473
854	4.077432149
855	4.076803808
856	4.076415728
857	4.07621853
858	4.07574676
859	4.075505565
860	4.074977936
861	4.074527206
862	4.073849817
863	4.073536665
864	4.07321734
865	4.072636085
866	4.072355455
867	4.071865745
868	4.071477225
869	4.07097083
870	4.070418533
871	4.069957182
872	4.069350987
873	4.068941612
874	4.068534582
875	4.068043312
876	4.067720442
877	4.067353336
878	4.066744791
879	4.066374941
880	4.065982596
881	4.06526086
882	4.064840335
883	4.064400539
884	4.064206323
885	4.063883301
886	4.063603838
887	4.063425637
888	4.062854331
889	4.06245902
890	4.061986784
891	4.061622455
892	4.061150951
893	4.060791136
894	4.060233862
895	4.059845783
896	4.059236385
897	4.058810558
898	4.058302638
899	4.057928292
900	4.057523963
901	4.057158073
902	4.05661661
903	4.056198373
904	4.055917243
905	4.055555207
906	4.055093553
907	4.054707601
908	4.054419719
909	4.05408865
910	4.053740848
911	4.053435254
912	4.052995126
913	4.052719825
914	4.052414247
915	4.051980893
916	4.051633397
917	4.051365642
918	4.050982957
919	4.050188095
920	4.050006786
921	4.049697134
922	4.049266424
923	4.048636728
924	4.048170591
925	4.047795604
926	4.047298764
927	4.04703453
928	4.046669197
929	4.046030766
930	4.045578429
931	4.045134411
932	4.044861636
933	4.044584001
934	4.044234202
935	4.043840887
936	4.043319504
937	4.042905862
938	4.042460125
939	4.041857807
940	4.041569182
941	4.040830685
942	4.040376919
943	4.040124219
944	4.039843597
945	4.039486526
946	4.039154166
947	4.038906647
948	4.03875021
949	4.038363681
950	4.038133524
951	4.037669022
952	4.037336924
953	4.036899227
954	4.036480029
955	4.036079367
956	4.035771573
957	4.03536628
958	4.034984107
959	4.034144987
960	4.033885735
961	4.033658483
962	4.033329486
963	4.032962069
964	4.032601779
965	4.032274541
966	4.031810844
967	4.031316783
968	4.030869682
969	4.030354003
970	4.029860865
971	4.029557385
972	4.028965208
973	4.028561223
974	4.027871367
975	4.027401056
976	4.026952407
977	4.026736065
978	4.026397946
979	4.025903189
980	4.025609878
981	4.025332515
982	4.024616687
983	4.024441513
984	4.02411047
985	4.023615522
986	4.023487445
987	4.023063756
988	4.022857495
989	4.022602408
990	4.021974321
991	4.021474588
992	4.021133213
993	4.020853202
994	4.020540857
995	4.020389855
996	4.019976759
997	4.01941846
998	4.018971287
999	4.01841497
