iter	Passed	Remaining
439	1351	1720
440	1354	1717
441	1357	1714
442	1360	1711
443	1364	1708
444	1367	1705
445	1370	1701
446	1373	1698
447	1376	1695
448	1379	1692
449	1382	1689
450	1385	1686
451	1387	1682
452	1390	1679
453	1393	1676
454	1397	1673
455	1400	1670
456	1403	1667
457	1406	1664
458	1409	1660
459	1412	1657
460	1415	1654
461	1418	1651
462	1421	1648
463	1424	1645
464	1427	1642
465	1431	1639
466	1434	1636
467	1437	1633
468	1440	1630
469	1443	1627
470	1446	1624
471	1449	1621
472	1452	1618
473	1456	1615
474	1459	1612
475	1462	1609
476	1465	1606
477	1468	1603
478	1471	1600
479	1474	1596
480	1477	1593
481	1480	1590
482	1483	1587
483	1486	1584
484	1489	1581
485	1492	1578
486	1495	1575
487	1498	1572
488	1501	1569
489	1504	1566
490	1507	1563
491	1511	1560
492	1513	1556
493	1516	1553
494	1520	1550
495	1523	1547
496	1526	1544
497	1529	1541
498	1532	1538
499	1535	1535
500	1538	1532
501	1541	1529
502	1544	1526
503	1547	1522
504	1550	1520
505	1553	1517
506	1556	1513
507	1559	1510
508	1562	1507
509	1565	1504
510	1568	1500
511	1571	1497
512	1574	1494
513	1577	1491
514	1580	1488
515	1583	1485
516	1586	1482
517	1589	1479
518	1592	1476
519	1596	1473
520	1599	1470
521	1602	1467
522	1605	1464
523	1608	1460
524	1611	1457
525	1614	1454
526	1617	1451
527	1620	1448
528	1623	1445
529	1625	1441
530	1628	1438
531	1632	1435
532	1634	1432
533	1637	1429
534	1640	1426
535	1643	1423
536	1646	1420
537	1649	1416
538	1653	1413
539	1656	1410
540	1659	1408
541	1662	1404
542	1665	1401
543	1668	1398
544	1671	1395
545	1675	1392
546	1678	1389
547	1680	1386
548	1684	1383
549	1687	1380
550	1690	1377
551	1693	1374
552	1696	1371
553	1699	1368
554	1702	1364
555	1705	1361
556	1708	1358
557	1711	1355
558	1714	1352
559	1717	1349
560	1720	1346
561	1723	1342
562	1727	1341
563	1730	1338
564	1734	1335
565	1736	1331
566	1740	1328
567	1743	1325
568	1746	1322
569	1749	1319
570	1752	1316
571	1755	1313
572	1758	1310
573	1761	1307
574	1764	1304
575	1767	1300
576	1770	1297
577	1773	1294
578	1776	1291
579	1779	1288
580	1782	1285
581	1785	1282
582	1788	1279
583	1791	1276
584	1794	1273
585	1797	1270
586	1800	1266
587	1803	1263
588	1806	1260
589	1809	1257
590	1812	1254
591	1815	1251
592	1818	1248
593	1821	1245
594	1824	1241
595	1827	1238
596	1830	1235
597	1833	1232
598	1836	1229
599	1839	1226
600	1842	1223
601	1845	1220
602	1849	1217
603	1852	1214
604	1855	1211
605	1858	1208
606	1861	1204
607	1864	1201
608	1867	1198
609	1870	1195
610	1873	1192
611	1875	1189
612	1878	1186
613	1882	1183
614	1885	1180
615	1887	1176
616	1891	1173
617	1894	1170
618	1897	1167
619	1900	1164
620	1903	1161
621	1906	1158
622	1909	1155
623	1912	1152
624	1915	1149
625	1918	1146
626	1921	1143
627	1924	1140
628	1927	1137
629	1931	1134
630	1934	1131
631	1937	1128
632	1940	1125
633	1943	1122
634	1946	1119
635	1949	1115
636	1952	1112
637	1955	1109
638	1958	1106
639	1961	1103
640	1964	1100
641	1967	1097
642	1970	1094
643	1973	1091
644	1976	1088
645	1980	1085
646	1983	1081
647	1986	1078
648	1989	1075
649	1992	1072
650	1995	1069
651	1998	1066
652	2001	1063
653	2004	1060
654	2007	1057
655	2010	1054
656	2013	1051
657	2016	1048
658	2019	1045
659	2022	1041
660	2025	1038
661	2028	1035
662	2031	1032
663	2034	1029
664	2037	1026
665	2040	1023
666	2043	1020
667	2046	1017
668	2049	1014
669	2052	1010
670	2055	1007
671	2058	1004
672	2061	1001
673	2064	998
674	2067	995
675	2070	992
676	2074	989
677	2077	986
678	2080	983
679	2083	980
680	2086	977
681	2089	974
682	2092	971
683	2095	968
684	2098	964
685	2101	961
686	2104	958
687	2107	955
688	2110	952
689	2113	949
690	2116	946
691	2119	943
692	2122	940
693	2125	937
694	2128	934
695	2131	931
696	2135	928
697	2138	925
698	2141	922
699	2144	918
700	2147	915
701	2150	912
702	2153	909
703	2156	906
704	2159	903
705	2162	900
706	2165	897
707	2168	894
708	2172	891
709	2174	888
710	2177	885
711	2181	882
712	2184	879
713	2187	876
714	2190	873
715	2194	870
716	2197	867
717	2200	864
718	2203	861
719	2206	858
720	2209	855
721	2212	851
722	2215	848
723	2218	845
724	2221	842
725	2224	839
726	2227	836
727	2230	833
728	2233	830
729	2236	827
730	2240	824
731	2243	821
732	2246	818
733	2249	815
734	2252	812
735	2255	809
736	2258	805
737	2261	802
738	2264	799
739	2267	796
740	2270	793
741	2273	790
742	2276	787
743	2279	784
744	2282	781
745	2285	778
746	2288	775
747	2291	772
748	2295	769
749	2297	765
750	2300	762
751	2303	759
752	2306	756
753	2310	753
754	2313	750
755	2316	747
756	2319	744
757	2321	741
758	2325	738
759	2328	735
760	2331	732
761	2334	729
762	2337	725
763	2340	722
764	2343	719
765	2346	716
766	2349	713
767	2352	710
768	2355	707
769	2358	704
770	2361	701
771	2364	698
772	2367	695
773	2370	692
774	2373	689
775	2377	686
776	2380	683
777	2383	680
778	2386	677
779	2389	673
780	2392	670
781	2395	667
782	2398	664
783	2401	661
784	2408	659
785	2411	656
786	2414	653
787	2417	650
788	2420	647
789	2423	644
790	2426	641
791	2429	638
792	2432	635
793	2435	631
794	2439	628
795	2442	625
796	2445	622
797	2448	619
798	2451	616
799	2454	613
800	2457	610
801	2460	607
802	2463	604
803	2466	601
804	2469	598
805	2472	595
806	2475	592
807	2478	589
808	2481	585
809	2485	582
810	2487	579
811	2490	576
812	2493	573
813	2496	570
814	2499	567
815	2502	564
816	2505	561
817	2508	558
818	2511	555
819	2514	552
820	2517	548
821	2520	545
822	2523	542
823	2527	539
824	2530	536
825	2533	533
826	2536	530
827	2539	527
828	2542	524
829	2545	521
830	2548	518
831	2551	515
832	2554	512
833	2557	509
834	2560	506
835	2563	502
836	2566	499
837	2569	496
838	2572	493
839	2575	490
840	2578	487
841	2581	484
842	2584	481
843	2588	478
844	2591	475
845	2594	472
846	2597	469
847	2600	466
848	2603	462
849	2606	459
850	2609	456
851	2612	453
852	2615	450
853	2618	447
854	2621	444
855	2624	441
856	2627	438
857	2630	435
858	2633	432
859	2637	429
860	2640	426
861	2643	423
862	2646	420
863	2649	417
864	2652	413
865	2655	410
866	2658	407
867	2661	404
868	2664	401
869	2667	398
870	2670	395
871	2673	392
872	2676	389
873	2679	386
874	2682	383
875	2685	380
876	2688	377
877	2691	374
878	2694	370
879	2697	367
880	2700	364
881	2704	361
882	2707	358
883	2710	355
884	2713	352
885	2716	349
886	2719	346
887	2722	343
888	2725	340
889	2728	337
890	2731	334
891	2734	331
892	2737	328
893	2741	324
894	2744	321
895	2747	318
896	2750	315
897	2753	312
898	2756	309
899	2759	306
900	2762	303
901	2765	300
902	2768	297
903	2772	294
904	2775	291
905	2778	288
906	2781	285
907	2784	282
908	2787	279
909	2790	275
910	2793	272
911	2796	269
912	2799	266
913	2802	263
914	2805	260
915	2808	257
916	2811	254
917	2814	251
918	2817	248
919	2820	245
920	2823	242
921	2826	239
922	2829	236
923	2832	232
924	2835	229
925	2838	226
926	2841	223
927	2845	220
928	2848	217
929	2851	214
930	2854	211
931	2857	208
932	2860	205
933	2863	202
934	2866	199
935	2869	196
936	2872	193
937	2875	190
938	2878	187
939	2881	183
940	2884	180
941	2887	177
942	2890	174
943	2894	171
944	2897	168
945	2900	165
946	2903	162
947	2906	159
948	2909	156
949	2912	153
950	2915	150
951	2918	147
952	2921	144
953	2924	141
954	2927	137
955	2930	134
956	2933	131
957	2936	128
958	2939	125
959	2942	122
960	2945	119
961	2948	116
962	2952	113
963	2955	110
964	2958	107
965	2961	104
966	2964	101
967	2967	98
968	2970	95
969	2973	91
970	2976	88
971	2979	85
972	2982	82
973	2985	79
974	2988	76
975	2991	73
976	2994	70
977	2997	67
978	3000	64
979	3003	61
980	3007	58
981	3010	55
982	3013	52
983	3016	49
984	3019	45
985	3022	42
986	3025	39
987	3028	36
988	3031	33
989	3034	30
990	3037	27
991	3040	24
992	3043	21
993	3046	18
994	3050	15
995	3053	12
996	3056	9
997	3059	6
998	3062	3
999	3065	0
